paperhash,decision,review_index,text_length,sentiment_polarity,sentiment_subjectivity,text
novak|bayesian_deep_convolutional_networks_with_many_channels_are_gaussian_processes|ICLR_cc_2019_Conference,True,0,6353,0.06886217948717949,0.5086458333333332,This paper extends the recent results concerning GP equivalence of infinitely wide FC nets to the convolutional case. This paper is generally of a high quality (notwithstanding the lack of keys on fig...
novak|bayesian_deep_convolutional_networks_with_many_channels_are_gaussian_processes|ICLR_cc_2019_Conference,True,1,5092,0.1977761380034107,0.439000393545848,The paper establishes a connection between  infinite channel Bayesian convolutional neural network and Gaussian processes. The authors prove that taking the number of channels in a Bayesian CNN to inf...
novak|bayesian_deep_convolutional_networks_with_many_channels_are_gaussian_processes|ICLR_cc_2019_Conference,True,2,28279,0.04201505998147788,0.46147476901208245,"****Reply to authors' rebuttal****

Dear Authors,

I greatly appreciate the effort you have put into the rebuttal. The changes you have made have addressed most of my concerns and I believe that the f..."
novak|bayesian_deep_convolutional_networks_with_many_channels_are_gaussian_processes|ICLR_cc_2019_Conference,True,3,3822,0.15809425423061788,0.5449093907535464,"Overall Score: 7/10.
Confidence Score: 3/10. (This paper includes so many ideas that I have not been able to prove that are right due to
my limited knowledge, but I think that there are correct).

Sum..."
kuciski|catalytic_role_of_noise_and_necessity_of_inductive_biases_in_the_emergence_of_compositional_communication|NeurIPS_cc_2021_Conference,True,0,31111,0.14416038450104976,0.4729384742582165,"# Main review

The paper provides a theoretical justification showing that, under fairly limitating constraints, noise introduced into the utterances of a sender-receiver emergent communications archi..."
kuciski|catalytic_role_of_noise_and_necessity_of_inductive_biases_in_the_emergence_of_compositional_communication|NeurIPS_cc_2021_Conference,True,1,1723,-0.004029304029304032,0.4308913308913308,"Originality: I am not aware of other work attempting to give a definition for compositionality, even in this limited form.

Quality:
 I find this definition of compositionality potentially useful, per..."
kuciski|catalytic_role_of_noise_and_necessity_of_inductive_biases_in_the_emergence_of_compositional_communication|NeurIPS_cc_2021_Conference,True,2,1332,0.15789473684210523,0.3223684210526315,"In addition to the summary above:

# Minor questions

* Why was a feed-forward instead of recurrent network?

* Fig 4(b): what about accuracy for this setting?  Does it still decline in higher noise v..."
kuciski|catalytic_role_of_noise_and_necessity_of_inductive_biases_in_the_emergence_of_compositional_communication|NeurIPS_cc_2021_Conference,True,3,1851,0.17075320512820513,0.40186298076923066,I thought this paper was fairly interesting. It adds to the many other papers that investigate factors that affect the emergence of compositional communication. This paper is unique in that the main c...
gontijolopes|tradeoffs_in_data_augmentation_an_empirical_study|ICLR_cc_2021_Conference,True,0,23243,0.11999794555726762,0.4645949935187226,"## Edit after authors' responses

I have upgraded my score (from 4 to 5) based on the clarifications provided by the authors and the updated manuscript. Please see the details in my extended comments:..."
gontijolopes|tradeoffs_in_data_augmentation_an_empirical_study|ICLR_cc_2021_Conference,True,1,3161,0.11611784511784512,0.4922142857142857,"This paper empirically investigates two crucial factors: affinity and diversity in useful data augmentation strategies. Through extensive experiments on existing image augmentation methods, it demonst..."
gontijolopes|tradeoffs_in_data_augmentation_an_empirical_study|ICLR_cc_2021_Conference,True,2,2395,0.09216589861751151,0.49416282642089093,"# Summary

This paper analyzes data augmentation for image classification using two measures: Affinity and Diversity. These measures depend on both training data and model and are easy to compute. The..."
gontijolopes|tradeoffs_in_data_augmentation_an_empirical_study|ICLR_cc_2021_Conference,True,3,3286,0.26818831168831164,0.541881673881674,"##########################################################################

Summary:

This paper studies the problem of data augmentation that obtains new training examples by modifying existing ones...."
fu|actorcritic_policy_optimization_in_a_largescale_imperfectinformation_game|ICLR_cc_2022_Conference,True,0,9127,0.06386054421768708,0.43926770708283314,"The paper has a number of strong things to recommend it. The Mahjong results are impressive.  While there a couple of questions below regarding the experiments, in general the experimental design was ..."
fu|actorcritic_policy_optimization_in_a_largescale_imperfectinformation_game|ICLR_cc_2022_Conference,True,1,852,0.15438311688311687,0.46282467532467536,"What I would like to see most in this paper is two things: more tabular analysis and experiments and better comparisons to existing methods. 

This method is essentially doing regression on a weighted..."
fu|actorcritic_policy_optimization_in_a_largescale_imperfectinformation_game|ICLR_cc_2022_Conference,True,2,3022,-0.0135006236701152,0.4175137574290116,"Actor-Critic Policy Optimization in a Large-Scale Imperfect-Information Game 


Positive: 

I like that the paper uses 1v1 Mahjong, sounds like an interesting game that is not commonly used in the com..."
fu|actorcritic_policy_optimization_in_a_largescale_imperfectinformation_game|ICLR_cc_2022_Conference,True,3,16989,0.04298994630142169,0.4207545005085991,"I found the paper to be clear, well organized, and easy to read. The proposed technique, ACH, looks like a good addition to the CFR family of algorithms, separated from Deep CFR in that it can run mod..."
